"Gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn","Binned_MonthlyCharges","Binned_Tenure"
"Female",NA,"Partner",NA,NA,NA,"DSL",NA,"OnlineBackup",NA,NA,NA,NA,"Month-to-month","PaperlessBilling","Electronic check",NA,"$29.4-56","1-1.5m"
"Male",NA,NA,NA,"PhoneService",NA,"DSL","OnlineSecurity",NA,"DeviceProtection",NA,NA,NA,"One year",NA,"Mailed check",NA,"$56-68.8","17.5-43.5m"
"Male",NA,NA,NA,"PhoneService",NA,"DSL","OnlineSecurity","OnlineBackup",NA,NA,NA,NA,"Month-to-month","PaperlessBilling","Mailed check","Churn","$29.4-56","1.5-5.5m"
"Male",NA,NA,NA,NA,NA,"DSL","OnlineSecurity",NA,"DeviceProtection","TechSupport",NA,NA,"One year",NA,"Bank transfer (automatic)",NA,"$29.4-56","43.5-59.5m"
"Female",NA,NA,NA,"PhoneService",NA,"Fiber optic",NA,NA,NA,NA,NA,NA,"Month-to-month","PaperlessBilling","Electronic check","Churn","$68.8-107","1.5-5.5m"
"Female",NA,NA,NA,"PhoneService","MultipleLines","Fiber optic",NA,NA,"DeviceProtection",NA,"StreamingTV","StreamingMovies","Month-to-month","PaperlessBilling","Electronic check","Churn","$68.8-107","5.5-17.5m"
"Male",NA,NA,"Dependents","PhoneService","MultipleLines","Fiber optic",NA,"OnlineBackup",NA,NA,"StreamingTV",NA,"Month-to-month","PaperlessBilling","Credit card (automatic)",NA,"$68.8-107","17.5-43.5m"
"Female",NA,NA,NA,NA,NA,"DSL","OnlineSecurity",NA,NA,NA,NA,NA,"Month-to-month",NA,"Mailed check",NA,"$29.4-56","5.5-17.5m"
"Female",NA,"Partner",NA,"PhoneService","MultipleLines","Fiber optic",NA,NA,"DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Month-to-month","PaperlessBilling","Electronic check","Churn","$68.8-107","17.5-43.5m"
"Male",NA,NA,"Dependents","PhoneService",NA,"DSL","OnlineSecurity","OnlineBackup",NA,NA,NA,NA,"One year",NA,"Bank transfer (automatic)",NA,"$56-68.8","59.5-70.5m"
"Male",NA,"Partner","Dependents","PhoneService",NA,"DSL","OnlineSecurity",NA,NA,NA,NA,NA,"Month-to-month","PaperlessBilling","Mailed check",NA,"$29.4-56","5.5-17.5m"
"Male",NA,NA,NA,"PhoneService",NA,NA,NA,NA,NA,NA,NA,NA,"Two year",NA,"Credit card (automatic)",NA,"$0-29.4","5.5-17.5m"
"Male",NA,"Partner",NA,"PhoneService","MultipleLines","Fiber optic",NA,NA,"DeviceProtection",NA,"StreamingTV","StreamingMovies","One year",NA,"Credit card (automatic)",NA,"$68.8-107","43.5-59.5m"
